email,label
"We regret to inform you that after careful consideration, we have decided to move forward with other candidates.",rejection
"Congratulations! We are pleased to offer you the position at our company.",normal
"We appreciate your application, but at this time we have chosen another candidate.",rejection
"Thank you for reaching out! Let's schedule an interview.",normal
"Thank you for your interest in the AI Tutor (Full-Time) position at xAI. After careful consideration, we regret to inform you that we have decided not to move your application to the next stage of our hiring process.
We wish you all the best in your future endeavors.",rejection
"Thank you for your interest in the UNICEF Venture Fund and for submitting your application to our call for AI and Blockchain for Data and Trust applications.
After careful review, we are sorry to let you know that your application has not been selected to move forward to the next stage of the evaluation process.
Due to the high volume of applications received, we are unable to provide individual feedback. However, we would like to share some reasons why proposals may not progress at this stage:We encourage you to continue developing your solution and welcome you to apply in future calls if you see a fit. You can stay informed by subscribing to our newsletter and following our UNICEF Innovation channels for upcoming opportunities and updates.
Thanks again for sharing your work with us—we wish you all the best in your journey ahead!",rejection
"We greatly appreciate your interest in Iknal Semikan and the time you invested in applying for Engineering Internship in Sweden!.
We have reviewed your application, and unfortunately, we cannot offer you a position at this time.
Please continue to check our career site for available opportunities. We wish you the best of luck in your job search.
Best regards",rejection
" Thank you for registering for Microsoft AI Skills Fest taking place April 8 - May 28, 2025. Please save this email for your records.
We look forward to seeing you!",normal
"Thank you for registering for Accelerate Action: Her Power, Africa’s Transformation. You can find information about this webinar below. ",normal
"Hey Stellar Devs,
​We’re live! Join today’s session using the link below:",normal
"We appreciate your interest but...",rejection
"After careful consideration...",rejection
"Ayo hitman bang introduces",normal
